"攻撃","Attack"
"の攻撃！"," attacked!"
"スキル１番は［攻撃］コマンドを
選択したときに使用されます。",""
"防御","Defend"
"は身を守っている。"," took defensive stance."
"スキル２番は［防御］コマンドを
選択したときに使用されます。",""
"連続攻撃",""
"２回攻撃",""
"３回攻撃",""
"逃げる","Run"
"は逃げてしまった。"," ran away."
"様子を見る","Do Nothing"
"は様子を見ている。"," stood still."
"ヒール","Heal"
"HPを60％回復する。","Recover 60% HP."
"は%1を唱えた！"," casted %1!"
"ファイア","Fire"
"スパーク","Spark"
"おっぱい誘惑",""
"は胸を揺らして誘惑する。"," shook her breasts to tempt you."
"扇情的な光景に、ごくりとのどがなる。","The sight made you gulp in expectation."
"パフパフ",""
"のおっぱいに顔が揺さぶられる。"," shook her breasts at your face."
"甘い香りと感触に、思考がうまく働かない。","Their sweet scent and touch numbed your mind."
"足コキ",""
"は肉棒に軽く足裏を擦りつける。"," lightly rubbed your penis with her sole."
"屈辱的な快感に、肉棒が震えてしまう。","Your penis quivered from the humiliating pleasure."
"は肉棒を足で踏みつける。"," trampled your penis."
"足裏に擦られて思わず喘いでしまう。","The rub of her soles caused you to moan."
"は足コキで精液を搾り取る。"," drained your semen in footjob."
"投げキッス",""
"は魅惑的に投げキッスをする。"," charmingly blew you a kiss."
"可愛らしいそのしぐさに目が離せない。","You couldn't look away from her cute actions."
"フェラ",""
"は肉棒にキスをする。"," kissed your penis."
"甘い快楽がじんわりと肉棒に広がる。","A sweet tingling pleasure spread across it."
"は肉棒を口で舐る。"," licked your penis in her mouth."
"生温かい口内の感触に声が漏れてしまう。","The touch of her warm mouth caused to moan."
"はフェラで精液を吸い出す。"," drained your semen in fellatio."
"はおっぱいを揺らして誘惑した。"," shook her breasts at you."
"柔らかく弾むおっぱいから目が離せない。","You couldn't stop looking at her bouncy breasts."
"貴方の手のひらに乳房の感触を味合わせる。","Your hands are wrapped around the foe's breasts."
"指が沈み込む感触に魅了されてしまう。","Their soft sensation charmed you."
"パイズリ",""
"は柔らかな乳房で肉棒を挟み込む。"," tucked your penis between her breasts."
"肉棒がとろけるような感触に襲われる。","It felt like your penis is melting between them."
"は乳房を激しく上下に振る。"," shook her breasts up and down."
"柔らかな乳房に肉棒がシェイクされる。","Your penis shook along with her soft breasts."
"はパイズリで精液を搾り取る。"," drained your semen in boobjob."
"快感に耐える","Endure Pleasure"
"興奮度を80下げるが使用毎に防御力が-20％被ダメージ+30％
変化したステータスは射精すると元に戻る。","Remove 80 Arousal. 【DEF-20% & Damage Taken +30%】
Debuffs inflicted with this skill disappear on orgasm."
"は歯を食いしばって快感に耐えた。"," clenched his teeth and endured the pleasure."
"小悪魔の誘惑","Imp used Temptation"
"の誘惑！"," used Temptation!"
"遠見可憐の誘惑",""
"乳首弄り",""
"は\n[1]の乳首をくりくりと弄る。"," played with your nipples."
"じんじんとした快感が乳首を襲う。","You felt tingling pleasure on them."
"乳首舐め",""
"は\n[1]の乳首を舌で弄る。"," licked your nipple."
"小さな舌での愛撫に感じてしまう。","The touch of her tiny tongue felt good."
"乳首舐め手コキ",""
"は乳首をなめながら肉棒を扱く。"," gave you a nipple-licking handjob."
"弱点の二点責めに喘ぎ声が漏れてしまう。","The two-front attack made you moan."
"は唇と舌で乳首を弄りながら手コキを続ける。"," continued the nipple-licking handjob."
"乳首を唇で吸われるたびに我慢汁があふれ出る。","Your precum leaked with every lick."
"は乳首舐め手コキで精液を搾り取る。"," drained you in nipple-licking handjob."
"ロリダークエルフの誘惑","Loli Dark Elf used Temptation"
"は乳房を顔に柔らかく押し付ける。"," pressed her breasts on your face."
"甘い感触に脳がくらくらする。","Their sweet sensation makes you dizzy."
"ダークエルフの誘惑",""
"火炎斬り","Flame Slash"
"纏う炎の量を増大させ、敵を切りつける。
威力:☆☆☆","Slash your foe with a blade of flame.
Power:☆☆☆"
"は剣に炎を纏って攻撃した。"," attacked with a sword of flame."
"魔剣炎",""
"火炎放射刃","Flame Wave"
"剣に纏った炎を斬撃とともに打ち出す。
威力:☆☆☆☆","Slash your foe with a wave of flame.
Power:☆☆☆☆"""
"は炎の斬撃を打ち出した。"," slashed a wave of flame."
"炎神の一閃","Flame God Blast"
"巨大な炎を剣に纏い、一刀の元に敵を切り伏せる。
威力☆☆☆☆☆","Slash down your foe with the strongest flame.
Power:☆☆☆☆☆"
"は巨大な炎の剣で敵を切り裂いた。",""
"雷電斬り","Lightning Slash"
"纏う雷の量を増大させ、敵を切りつける。
【追加攻撃50％】威力:☆☆+☆　","Slash your foe with a blade of lighting.
【50% Extra Attack】Power:☆☆+☆"
"は剣に雷を纏って攻撃した。",""
"魔剣雷",""
"雷電放射刃","Lighting Wave"
"剣に纏った雷を斬撃とともに打ち出す。
【追加攻撃50％】威力:☆☆☆+☆","Slash your foe with a wave of lightning.
【50% Extra Attack】Power:☆☆☆+☆"
"は雷の斬撃を打ち出した。",""
"雷神の一閃","Lighting God Blast"
"巨大な雷を剣に纏い、一刀の元に敵を切り伏せる。
【追加攻撃50％】威力☆☆☆☆+☆","Slash down your foe with the strongest lightning.
【50% Extra Attack】Power:☆☆☆☆+☆"
"は巨大な雷の剣で敵を切り裂いた。",""
"水氷斬り","Ice Slash"
"纏う冷気の量を増大させ、敵を切りつける。
威力:☆☆☆","Slash your foe with a blade of ice.
Power:☆☆☆"
"は剣に冷気を纏って攻撃した。",""
"魔剣氷",""
"水氷放射刃","Ice Wave"
"剣に纏った冷気を斬撃とともに打ち出す。
威力:☆☆☆☆","Slash your foe with a wave of ice.
Power:☆☆☆☆"
"は冷気の斬撃を打ち出した。",""
"氷神の一閃","Ice God Blast"
"巨大な冷気を剣に纏い、一刀の元に敵を切り伏せる。
威力☆☆☆☆☆","Slash down your foe with the deepest cold.
Power:☆☆☆☆☆"
"は巨大な冷気の剣で敵を切り裂いた。",""
"突風斬り","Wind Slash"
"纏う風の量を増大させ、敵を切りつける。
【累積で攻撃力up】威力:☆☆　","Slash your foe with a blade of wind.
【Stacking ATK UP】Power:☆☆"
"は剣に風を纏って攻撃した。",""
"魔剣風",""
"突風放射刃","Wind Wave"
"剣に纏った風を斬撃とともに打ち出す。
【累積で攻撃力up】威力:☆☆☆","Slash your foe with a wave of wind.
【Stacking ATK UP】Power:☆☆☆"
"は風の斬撃を打ち出した。",""
"風神の一閃","Wind God Blast"
"巨大な風を剣に纏い、一刀の元に敵を切り伏せる。
【累積で攻撃力up】威力☆☆☆☆","Slash down your foe with the strongest gale.
【Stacking ATK UP】Power:☆☆☆☆"
"は巨大な風の剣で敵を切り裂いた。",""
"光の斬撃","Light Slash"
"纏う光の量を増大させ、敵を切りつける。
【HP回復3％】威力:☆☆☆","Slash your foe with a blade of light.
【3% HP Heal】Power:☆☆☆"
"は剣に光を纏って攻撃した。",""
"魔剣光",""
"光撃刃","Light Wave"
"剣に纏った光を斬撃とともに打ち出す。
【HP回復3％】威力:☆☆☆☆","Slash your foe with a wave of light.
【3% HP Heal】Power:☆☆☆☆"
"は光の斬撃を打ち出した。",""
"光神の一閃","Light God Blast"
"巨大な光を剣に纏い、一刀の元に敵を切り伏せる。
【HP回復3％】威力☆☆☆☆☆","Slash down your foe with a blinding light.
【3% HP Heal】Power:☆☆☆☆☆"
"は巨大な光の剣で敵を切り裂いた。",""
"闇の斬撃","Dark Slash"
"纏う闇の量を増大させ、敵を切りつける。
【防御無視】威力:☆☆☆","Slash your foe with a blade of dark.
【Ignore Defense】Power:☆☆☆"
"は剣に闇を纏って攻撃した。",""
"魔剣闇",""
"闇撃刃","Dark Wave"
"剣に纏った闇を斬撃とともに打ち出す。
【防御無視】威力:☆☆☆☆","Slash your foe with a wave of dark.
【Ignore Defense】Power:☆☆☆☆"
"は闇の斬撃を打ち出した。",""
"闇神の一閃","Dark God Blast"
"巨大な闇を剣に纏い、一刀の元に敵を切り伏せる。
【防御無視】威力☆☆☆☆☆","Slash down your foe with the deepest dark.
【Ignore Defense】Power:☆☆☆☆☆"
"は巨大な闇の剣で敵を切り裂いた。",""
"雷炎斬り","Lightning Flame Slash"
"纏う雷炎の量を増大させ、敵を切りつける。
【追加攻撃50％】威力:☆☆☆+☆","Slash your foe with a blade of lightning flame.
【50% Extra Attack】Power:☆☆☆+☆"
"は剣に雷炎を纏って攻撃した。",""
"魔剣炎
魔剣雷",""
"雷炎放射刃","Lightning Flame Wave"
"剣に纏った雷炎を斬撃とともに打ち出す。
【追加攻撃50％】威力:☆☆☆☆+☆","Slash your foe with a wave of lightning flame.
【50% Extra Attack】Power:☆☆☆☆+☆"
"は雷炎の斬撃を打ち出した。",""
"雷炎神の一閃","Flame Lightning God Blast"
"巨大な雷炎を剣に纏い、一刀の元に敵を切り伏せる。
【追加攻撃50％】威力☆☆☆☆☆+☆","Slash down your foe with the strongest lightning flame.
【50% Extra Attack】Power:☆☆☆☆☆+☆"
"は巨大な雷炎の剣で敵を切り裂いた。",""
"纏う雷炎の量を増大させ、敵を切りつける。
【追加攻撃50％】威力:☆☆☆",""
"巨大な雷炎を剣に纏い、一刀の元に敵を切り伏せる。
【追加攻撃50％】威力☆☆☆☆☆☆+☆",""
"氷風斬り","Ice Wind Slash"
"纏う冷気の風の量を増大させ、敵を切りつける。
【累積で攻撃力大up】威力:☆☆☆","Slash your foe with a blade of ice wind.
【Stacking ATK UP】Power:☆☆☆"
"は剣に冷気の風を纏って攻撃した。",""
"魔剣氷
魔剣風",""
"氷風放射刃","Ice Wind Wave"
"剣に纏った冷気の風を斬撃とともに打ち出す。
【累積で攻撃力大up】威力:☆☆☆☆","Slash your foe with a blade of ice wind.
【Stacking ATK UP】Power:☆☆☆☆"
"は冷気の風の斬撃を打ち出した。",""
"氷風神の一閃","Ice Wind God Blast"
"巨大な冷気の風を剣に纏い、一刀の元に敵を切り伏せる。
【累積で攻撃力大up】威力☆☆☆☆☆",""
"は巨大な冷気の風の剣で敵を切り裂いた。",""
"暗黒雷炎斬り","Tri Slash A"
"纏う黒い雷炎の量を増大させ、敵を切りつける。
【追加攻撃50％】【防御無視】威力:☆☆☆☆+☆","Slash your foe with a blade of dark lightning flame.
【50% Extra Attack & Ignore Defense】Power:☆☆☆☆+☆"
"は剣に黒い雷炎を纏って攻撃した。",""
"魔剣炎
魔剣雷
魔剣闇",""
"暗黒雷炎放射刃","Tri Wave A"
"剣に纏った黒い雷炎を斬撃とともに打ち出す。
【追加攻撃50％】【防御無視】威力:☆☆☆☆☆+☆","Slash your foe with a wave of dark lightning flame.
【50% Extra Attack & Ignore Defense】Power:☆☆☆☆☆+☆"
"は黒い雷炎の斬撃を打ち出した。",""
"暗黒雷炎神の一閃","Tri God Blast A"
"巨大な黒い雷炎を剣に纏い、一刀の元に敵を切り伏せる。
【追加攻撃50％】【防御無視】威力☆☆☆☆☆☆+☆",""
"は巨大な黒い雷炎の剣で敵を切り裂いた。",""
"神聖氷風斬り","Tri Slash B"
"纏う聖なる冷気の風の量を増大させ、敵を切りつける。
【累積で攻撃力大up】【HP回復3％】威力:☆☆☆☆","Slash your foe with a blade of Light Ice Wind.
【Stacking ATK UP & 3% HP Heal】Power:☆☆☆☆"
"は剣に聖なる冷気の風を纏って攻撃した。",""
"魔剣氷
魔剣風
魔剣光",""
"神聖氷風放射刃","Tri Wave B"
"剣に纏った聖なる冷気の風を斬撃とともに打ちだす。
【累積で攻撃力大up】【HP回復3％】威力:☆☆☆☆☆","Slash your foe with a blade of Light Ice Wind.
【Stacking ATK UP & 3% HP Heal】Power:☆☆☆☆☆"
"は聖なる冷気の風の斬撃を打ち出した。",""
"神聖氷風神の一閃","Tri God Blast B"
"巨大な聖なる氷風を剣に纏い、一刀の元に敵を切り伏せる。
【累積で攻撃力大up】【HP回復3％】威力☆☆☆☆☆☆☆",""
"は巨大な聖なる氷風の剣で敵を切り裂いた。",""
"炎の魔剣","Flame Enchant"
"炎を剣に纏う。【攻撃力30％up】
威力の高い炎魔剣を使えるようになる。継続消費MP：10","Cover sword in flames. 【ATK+30％】
Enables Flame Sword skills.【Upkeep: 10MP】"
"は剣に炎を纏った！"," used Flame Enchant!"
"<QuickSkill>",""
"雷の魔剣","Lighting Enchant"
"雷を剣に纏う。【魔法力30％up】
追加攻撃有りの雷魔剣を使えるようになる。継続消費MP：10","Cover sword in lightning. 【MATK+30％】
Enables Lightning Sword skills.【Upkeep: 10MP】"
"は剣に雷を纏った！"," used Lightning Enchant!"
"氷の魔剣","Ice Enchant"
"冷気を剣に纏う。【被ダメージ20％カット・防御力15％up】
威力の高い氷魔剣を使えるようになる。継続消費MP：10","Cover sword in ice. 【Damage Reduction +20% & Def+15%】
Enables Ice Sword skills.【Upkeep: 10MP】"
"は剣に冷気を纏った！"," used Ice Enchant!"
"風の魔剣","Wind Enchant"
"風を剣に纏う。【敏捷性30％up】
晩成型の風魔剣を使えるようになる。継続消費MP：10","Cover sword in wind. 【AGI+30%】
Enables Wind Sword skills.【Upkeep: 10MP】"
"は剣に風を纏った！"," used Wind Enchant!"
"光の魔剣","Light Enchant"
"光を剣に纏う。【毎ターンHP5％回復】
攻撃時回復する光魔剣を使えるようになる。継続消費MP：15","Cover sword in light. 【5% HP Regen】
Enables Light Sword skills.【Upkeep: 15MP】"
"は剣に光を纏った！"," used Light Enchant!"
"闇の魔剣","Dark Enchant"
"闇を剣に纏う。【与ダメージ10％up】
防御無視の闇魔剣を使えるようになる。継続消費MP：15","Cover sword in dark. 【Damage+10%】
Enables Dark Sword skills.【Upkeep: 15MP】"
"は剣に闇を纏った！"," used Dark Enchant!"
"雷炎の魔剣","Lighting Fire Enchant"
"炎、雷の魔剣の両効果を受ける。
両方の性質を持つ魔剣を使えるようになる。継続消費MP：20","Double enchant of lightning and fire.
Enable Dual Element skills.【Upkeep: 20P】"
"は剣に雷炎を纏った！"," used Lighting Fire Enchant!"
"氷風の魔剣","Ice Wind Enchant"
"氷、風の魔剣の両効果を受ける。攻撃力累積増加率強化。
両方の性質を持つ魔剣を使えるようになる。継続消費MP：15","Double enchant of ice and wind.
Enable Dual Element skills.【Upkeep: 15MP】"
"は剣に冷気の風を纏った！"," used Ice Wind Enchant!"
"黒雷炎の魔剣","Tri Enchant A"
"闇、炎、雷の魔剣3つの効果を受けることが出来る。
3つの性質を持つ魔剣を使えるようになる。継続消費MP：30","Triple enchant of dark, fire, and lightning.
Enables Triple Element skills.【Upkeep: 30MP】"
"は剣に暗黒の雷炎を纏った！"," used Dark Lightning Fire Enchant!"
"白氷風の魔剣","Tri Enchant B"
"光、氷、風の魔剣3つの効果を受けることが出来る。
3つの性質を持つ魔剣を使えるようになる。継続消費MP：25","Triple enchant of light, ice, and wind.
Enables Triple Element skills.【Upkeep: 25MP】"
"は剣に聖なる冷気の風を纏った！"," used Light Ice Wind Enchant!"
"限界魔力放出撃",""
"興奮度が80以上の時のみ、
50％の確率で興奮度を0にし、敵に大ダメージを与える。",""
"放出実行",""
"は射精欲求を変換して、",""
"特大の魔力を敵に向かって放出した。",""
"高木優香の誘惑",""
"の投げキッス。"," blew a kiss at you."
"彼女の唇からピンク色のハートが撃ちだされる。","A pink heart shot out from her lips."
"艶やかに光る唇から放たれるハートを避けることが出来ない。","You couldn't dodge the flying pink heart."
"キス",""
"はピンク色に光る唇を\n[1]に押し付ける。"," pressed her shining pink lips against yours.
"
"直接キスで魔力を塗り込まれ、快感が\n[1]の身体を貫く。","The charming pleasure struck directly into your body."
"は唇で貴方の舌先をついばむ。"," picked your tongue between her lips."
"甘い魔力にじんわりと舌先が犯される。","The sweet magic made your tongue tingle."
"はキスで精液を搾り取る。"," drained your semen with a kiss."
"ヒップアタック",""
"のヒップアタック。"," used Hip Attack."
"可憐のお尻の柔らかな衝撃が\n[1]の顔を襲う。","Your face is struck by Karen's soft ass."
"はお尻で貴方の顔をもみくちゃにする。"," crushed your face with her ass."
"むっちりとしたお尻に顔を包まれて、息ができない。","You couldn't breathe with her ass on your face."
"尻コキ",""
"はお尻を貴方の股間に押し付ける。"," pressed her ass on your groin."
"円を描くようなグラインドのお尻に、肉棒が揺さぶられる。","She moved her ass in circles and grinded your penis."
"は腰を小刻みに動かす。"," twerked her ass on your groin."
"動きに合わせて可憐のお尻が貴方の弱点を愛撫する。","The shaking transmitted directly on your penis."
"は尻コキで精液を搾り取る。"," drained your semen in assjob."
"耳責め",""
"は甘く吐息を耳に吹きかける。"," blew a breath in your ear."
"は甘く唇で耳たぶを吸う。"," sucked on your earlobe."
"わざとらしくたてられたリップ音にゾクゾクしてしまう。","The wet sounds of her lips made you shiver."
"は肉棒を両足で挟み込む。"," sandwiched your penis with her feet."
"柔らかな足裏による圧迫に\n[1]は感じてしまう。","The touch of her soft soles felt amazing for you."
"は肉棒をリズムカルに両足で扱く。"," stroked your penis with her feet."
"耳に彼女の甘い吐息と舌を感じて興奮してしまう。","Her breaths and tongue on your ear turned you on."
"盗賊サキュバスの誘惑","Thief Succubus' Temptation
"
"盗賊サキュバスの誘惑簡易",""
"のパフパフ。"," used Breast Smother.
"
"甘い香りの谷間が\n[1]の顔を捕らえる。","Your face is trapped in her sweet-smelling breasts.
"
