"攻撃","Attack"
"柔らかな乳房が甘い香りを\n[1]の顔に刷り込む。","She kneaded her soft breasts in your face.
"
"強制オナニー",""
"の強制オナニー。"," used Forced Masturbation."
"甘い香りに命令されるがまま、肉棒を扱いてしまう。","You masturbated to the sweet fragnance."
"ドライアドの甘い声のリズムに合わせて肉棒を扱いてしまう。","You masturbated to the dryad's sweet voice."
"は強制オナニーで精液を搾り取る。"," drained your semen in forced masturbation."
"ドライアドの誘惑","Dryad used Temptation"
"ドライアドの誘惑簡易",""
"の乳首弄り。"," used Nipple Play."
"甘い魔力を纏った手袋の指先が\n[1]の乳首を弄る。","She played with your nipples with her mana-covered fingers."
"甘い魔力が指先を通じて\n[1]の乳首に流し込まれる。","Sweet magic flowed from her hands to your nipples."
"手袋コキ",""
"の手袋コキ。"," used Gloved Handjob."
"甘い魔力を纏った手袋の感触が肉棒を追い詰める。","She stroked you with magic-infused gloves."
"ぐちゅぐちゅと激しい責めが\n[1]の肉棒を襲う。","She poured the sweet charm magic into your penis."
"は手袋コキで精液を搾り取る。"," drained your semen in gloved handjob."
"マジックサキュバスの誘惑",""
"マジックサキュバスの誘惑簡易",""
"凛は柔らかなお尻を強く\n[1]の顔に打ち付ける。","Rin smacked your face hard with her soft ass."
"柔らかいお尻による重い衝撃が\n[1]の顔を打ち抜く。","Your face was hit with a heavy blow from her soft ass."
"顔面騎乗手コキ",""
"の顔面騎乗手コキ。"," used Facesitting Handjob."
"凛はお尻を顔に擦りつけ、肉棒をリズムカルに扱く。","Rin stroked your penis and rubbed her ass on your face."
"凛はお尻で\n[1]の顔を圧迫したまま、手コキを続ける。","Rin continued the handjob while sitting on your face."
"は顔面騎乗手コキで精液を搾り取る。"," drained your semen in facesitting handjob."
"凛の誘惑",""
"可愛い投げキッスとともにハートが\n[1]を襲う。","She shot a heart at you by cutely blowing a kiss."
"ハートが命中し、唇に吸われるような錯覚を覚える。","You felt a sensation of a kiss when the heart hit you."
"の足コキ。"," used Footjob."
"優香は投げキッスをしながら肉棒を足蹴にする。","Yuuka trampled your penis while blowing kisses at you."
"唇に吸い付かれる錯覚とともに肉棒が優香に足蹴にされる。","You felt kisses on your skin and a foot on your penis."
"優香の誘惑",""
"のフェラ。"," used Fellatio."
"六花のピンク色の唇が\n[1]の肉棒を舐る。","Rikka sucked your penis with her pink lips."
"六花は激しく顔を動かし、肉棒を吸い上げる。","Rikka moved her head and sucked your penis."
"はフェラで精液を搾り取る。"," drained your semen in fellatio."
"六花の誘惑",""
"おっぱいビンタ",""
"のおっぱいビンタ。"," used Breast Slap."
"柔らかい乳房による重い打撃が\n[1]を襲う。","You were heavily struck by her soft breasts."
"腰砕けになりそうな甘い乳房による打撃が\n[1]を襲う。","You nearly lost your footing from the smack."
"のパイズリ。"," used Boobjob."
"柔らかく豊満な乳房が肉棒を溶かすように揺れ動く。","The soft and massive breasts shook around your penis."
"とろけるように柔らかい乳房が肉棒を追い詰める。","The soft breasts were melting away your penis."
"恭子の誘惑",""
"誘惑",""
"の誘惑。"," used Temptation."
"可憐は豊満な乳房を揺らして\n[1]に見せつける。","Karen showed her breasts and shook them at you."
"乳房の甘い感触と香りに\n[1]の顔が包み込こまれる。","The touch and scent of her breasts covered your face."
"囁き",""
"の囁き。",""
"甘い吐息交じりの声が\n[1]の耳元で囁かれる。","Blew hot breaths while whispering in your ear."
"可憐の誘惑",""
"優香はいやらしく乳房を揺らして貴方を誘惑する。",""
"魅了パフパフ",""
"の魅了パフパフ。"," used Charming Breast Smother."
"濃厚な甘い香りが柔らかく\n[1]の顔に刷り込まれる。","The sweet and thick smell rubbed on your face."
"柔かな乳房の牢獄と太ももによる愛撫が\n[1]を襲う。","You're stuck between her breasts and thighs."
"はおっぱいと太ももで精液を搾り取る。"," drained your semen with her breasts and thighs."
"魔法剣解除","Release Enchant
"
"現在使用している魔法剣を解除して攻撃する。
【MP回復30％】威力:☆☆","Attack and release the current enchant.
【Recover 30％ MP】Power: ☆☆"
"雷の一撃",""
"纏う雷の量を増大させ、敵を切りつける。
威力:☆☆　",""
"の剣から雷があふれ出す！",""
"轟雷の一撃",""
"柔らかなお尻による重い衝撃が貴方の顔を襲う。",""
"セーレの柔らかなお尻が貴方の顔に打ち付けられる。",""
"誘惑。",""
"セーレは貴方の目の前でお尻を振って誘惑する。","Seele shook her ass to tempt you."
"セーレは\n[1]を小ばかにしながら肉棒を足蹴にする。","Seele trampled your penis while making fun of you."
"セーレは小さな足裏で器用に肉棒を上下に擦る。","Seele skillfully stroked your penis under her foot."
"セーレの誘惑",""
"なすがまま","Stop Fighting"
"敵のなすがままになって行動できなくなる。","Stop fighting and give full control to the enemy."
"はなすがままになった！"," gave up fighting!
"
"オナニー","Masturbate
"
"敵の誘惑に抗えず、オナニーをしてしまう。
【HP-9999】","Fall for the foe's charms and masturbate.
【HP-9999】"
"は夢中で肉棒を扱いた！"," stroked his penis in daze!
"
"顔面騎乗",""
"の顔面騎乗。",""
"大淫魔は\n[1]の顔に割れ目を擦りつける。","She rubbed her pussy on your face."
"大淫魔は\n[1]に強制的に自身の割れ目を舐めさせる。","She forced you to lick her pussy."
"シックスナインフェラ",""
"のシックスナインフェラ。"," used 69 Fellatio."
"大淫魔は\n[1]の顔に割れ目を舐めさせながら肉棒を舐る。",""
"大淫魔は\n[1]の顔に割れ目を擦りつけながら肉棒を舐る。",""
"はシックスナインフェラで精液を搾り取る。"," drained your semen in 69 fellatio."
"大淫魔の誘惑",""
"チャーム投げキッス",""
"のチャーム投げキッス。"," used Charming Blown Kiss."
"可愛らしい唇からピンクのハートがうちだされる。",""
"扇情的な投げキッスと柔らかな唇の感触が\n[1]を襲う。",""
"キス手コキ",""
"のキス手コキ"," used Kissing Handjob."
"彼女は柔らかな唇を押し付けながら肉棒を扱く。","She stroked your penis while kissing your lips."
"彼女は\n[1]の唇を啄み、肉棒の弱点に指を絡ませる。","She touched your weak spots while kissing out."
"はキスと手コキで精液を搾り取る。"," drained your semen in kissing handjob."
"アイドルサキュバスの誘惑",""
"豊満な乳房がタプタプと揺れ、\n[1]を誘惑する。","She was tempting you by shaking her massive breasts."
"甘い乳房の感触が柔らかく\n[1]の顔を包み込む。","Your face was surrounded by soft breasts."
"神官サキュバスの誘惑",""
"言葉責め",""
"の言葉責め。"," used Verbal Abuse."
"ダンタリオンは艶やかな声を\n[1]の耳元で囁く。","Dantalion sweetly whispered in your ear."
"ダンタリオンは嘲笑交じりの声を\n[1]の耳元で囁く。","Dantalion whispered abuse in your ear."
"騎乗位",""
"の騎乗位。"," used Cowgirl Position."
"ダンタリオンは蜜壺で肉棒を甘く締め付ける。","Dantalion squeezed your penis in her pussy."
"ダンタリオンは激しく腰を振って肉棒を責め立てる。","Dantalion rode your penis hard."
"は騎乗位で精液を搾り取る。"," drained your semen in cowgirl position."
"ダンタリオンの誘惑",""
"抱きしめ",""
"は\n[1]を抱きしめる。"," hugged you."
"柔らかなアルの肢体が\n[1]の身体に擦りつけられる。","Al rubbed her soft body on you."
"アルは柔らかなお腹を勃起した肉棒に擦りつける。","Al rubbed your erect penis with her soft belly."
"アルは柔らかな乳房で肉棒をきつく締め付ける。","Al tightly squeezed your penis with her breasts."
"アルは乳房を上下に振って乳肉を肉棒に絡みつかせる。","Al rubbed her breasts on your penis."
"アルフィミアの誘惑",""
"肢体見せつけ",""
"は自身の肢体を見せつける。"," showed off her body."
"完璧なプロポーションの肢体は、\n[1]の理性を惑わす。","Her perfect figure lead your mind astray."
"柔らかそうな女神の肢体に、\n[1]の視線は奪われる。","The perfect body of the goddess seized your gaze."
"フレイは乱雑に肉棒を柔らかな足裏で弄ぶ。","Your penis was trampled under her soft foot."
"フレイの足裏の感触がとろけるような快楽を肉棒に伝える。","Her soft foot was melting your penis with pleasure."
"フレイの誘惑",""
"柔らかな甘い感触が\n[1]の顔を包み込む。","Soft and sweet sensation surrounded your face."
"甘くとろけるような感触が\n[1]の顔に刷り込まれる。","The sweet sensation was imprinting on your face."
"柔らかな乳房が肉棒に絡みつきながら上下に愛撫する。","Your penis was stroked in tight boobjob."
"柔らかな乳房の感触が肉棒の芯まで届く。","The soft sensation reached the core of your penis."
"アル(フレイ)の誘惑",""
"乳房の柔らかな甘い香りと感触が\n[1]の顔を包み込む。","Soft touch and sweet smell surrounded your face."
"授乳手コキ",""
"の授乳手コキ。"," used Nursing Handjob."
"\n[1]の口に乳房を咥えさせ、肉棒に細い指先を絡ませる。","Her breasts was in your mouth and hand on your penis."
"口に広がる乳房の甘さと、肉棒への快楽が\n[1]を襲う。","Sweet taste spread in your mouth and pleasure in your penis."
"は授乳手コキで精液を搾り取る。"," drained your semen in nursing handjob."
"メイドサキュバスAの誘惑",""
"分身ハグ",""
"の分身ハグ。",""
"\n[1]の身体は前後からサキュバスに抱きしめられる。",""
"柔らかな女体が前後から\n[1]に擦りつけられる。",""
"分身パイズリ",""
"の分身パイズリ。",""
"\n[1]の顔と肉棒がサキュバスの乳房に封じ込められる。",""
"乳房に顔と肉棒が包み込まれ、溶けるような快楽を感じる。",""
"は分身パイズリで精液を搾り取る。",""
"サキュバスの誘惑",""
"分身で後ろから抱きしめ、彼女は貴方に扇情的に近づく。",""
"のキス。"," used Kiss."
"優香は自分の唇を\n[1]の唇に重ね合わせる。","She pressed her lips against yours."
"優香は\n[1]の舌を自分の舌で絡めとる。","She twined her tongue around yours."
"\n[1]の肉棒が優香の乳房にすり潰される。",""
"優香は柔らかな乳房を肉棒に激しく擦りつける。",""
"サキュバス優香の誘惑",""
"おっぱいチラ見せ",""
"のおっぱいチラ見せ。"," used Breast Glimpse."
"メイドサキュバスは服をずらして谷間を見せつける。","She pulled on her top in a glimple of her breasts."
"乳首チラ見せ",""
"の乳首チラ見せ。"," used Nipple Glimpse."
"メイドサキュバスは綺麗な乳首をチラチラと見せつける。","She gave you a glimpse of her nipples."
"パンツコキ",""
"のパンツコキ。"," used Pantyjob."
"メイドサキュバスは自身の下着で肉棒をくるむ。","She wrapped her panties around your penis."
"メイドサキュバスはくるんだ下着で肉棒を激しく扱く。","She stroked your penis with her panties."
"はパンツコキで精液を搾り取る。"," drained your semen in pantyjob."
"メイドサキュバスBの誘惑",""
"メイドサキュバスBの誘惑（再戦）",""
"抱きつき♡",""
"の抱きつき♡",""
"可憐は貴方を柔らかな肢体で抱きしめ、乳房に埋もれさせる。",""
"可憐は貴方の顔に乳房を擦りつけ、柔らかな感触で包み込む。",""
"可憐は腰をグラインドさせ、蜜壺で肉棒を締め付ける。",""
"可憐はたぷたぷと乳房を揺らしながら激し腰を振る。",""
"サキュバス可憐の誘惑",""
"サキュバス可憐の敗北後誘惑",""
"イベント恭子誘惑",""
"のキス"," used Kiss."
"メイド長は甘く愛情たっぷりにキスをする。","She passionately kissed you."
"メイド長は甘く柔らかな唇で\n[1]から力を吸い出す。","She sucked your power with her soft lips."
"メイド長は器用に両足で肉棒を弄ぶ。","She skillfully toyed your penis with both feet."
"メイド長は弱点に足指を絡みつかせ、肉棒を愛撫する。","She rubbed your weak spots with her toes in footjob."
"メイド長誘惑",""
"回復",""
"ブレイブソード","Brave Sword
"
"祈りを込めた剣で敵を切り裂く。
威力:☆×12","Infuse your sword with a prayer and slash your foe.
Power:☆×12"
"は勢いよく剣で切り裂いた"," slashed down the foe with great force.
"
"連続キス",""
"の連続キス"," used Chain Kiss."
"アルは柔らかな唇を肉棒の先端に押し付ける。","She pressed her soft lips on the tip of your penis."
"アルはちゅっと音を立てて先端に唇を落とす。","She loudly smooched on the tip of your penis."
"全身コキ",""
"の全身コキ"," used Bodyjob."
"アルは柔らかな肢体全体を肉棒に擦りつける。","She rubbed your penis with her whole body."
"アルはむにゅむにゅと肉棒を肢体で愛撫する。","She tightly rubbed her body on your penis."
"は肢体全体で精液を搾り取る。"," drained your semen in bodyjob."
"アルの誘惑",""
"追い詰める一撃","Cornering Blow"
"敵を追い詰める攻撃。
誘惑が発生する体力まで敵のHPを削る","Strike to corner your enemy with a single blow.
Lowers enemy HP to temptation range."
"の追い詰める一撃！"," used Cornering Blow!"
"\n[1]は敵を追い詰める！","\n[1] cornered the enemy!"
"抱擁",""
"の抱擁。",""
"フレイは柔らかな全身で\n[1]を抱きしめる。",""
"フレイは柔らかな肢体で\n[1]の身体を包み込む。",""
"甘い乳房による愛撫が\n[1]の肉棒を襲う。",""
"フレイは豊満な乳房で肉棒を揺さぶる。",""
"想いの剣",""
"強い意志の力でフレイを切り裂く。
威力:☆×11",""
"意志の力でフレイを切り裂く。
威力:☆×10",""
"意志の力でフレイを切り裂く。
威力:☆×9",""
"弱々しい意志の力でフレイを切り裂く。
威力:☆☆☆☆☆☆☆",""
"弱々しい意志の力でフレイを切り裂く。
威力:☆☆☆☆☆",""
"負け犬の剣",""
"フレイに心を奪われたまま剣を振るう。
威力:☆☆",""
"フレイに見惚れる",""
"フレイに見惚れてしまう。
想いの剣の弱体化・フレイのHP1000回復・フレイの攻撃力up",""
"乳首責め",""
"の乳首責め"," used Nipple Play."
"優香は細い指先で\n[1]の乳首を弄った","She toyed your nipples with her fingers."
"優香は柔らかな唇を窄めて\n[1]の乳首を吸い上げる","She sucked your nipple between her lips."
"の乳首舐め手コキ"," used Nipple Licking Handjob."
"優香は舌で\n[1]の乳首を弄りながら肉棒を扱く","She stroked your penis and licked your nipple."
"優香は\n[1]の乳首と肉棒を同時に責め立てる","She toyed your nipple and penis at the same time."
"は乳首舐め手コキで精液を搾り取る"," drained your semen in nipple licking handjob."
"はアルへの想いを剣にのせて切り裂く",""
"は弱々しく剣で切り裂く",""
"はフレイに見惚れながら剣を振るう",""
"強い意志の力でフレイを切り裂く。
威力:☆×12",""
"おっぱいシェイク",""
"のおっぱいシェイク"," used Breast Shake."
"恭子は豊満な乳房で\n[1]の顔を揺さぶった","She shook her massive breasts on your face."
"恭子は乳房を揺らして甘い衝撃を\n[1]の顔に伝える","She smacked your face with her breasts!"
"パフパフ＆太ももコキ",""
"のパフパフ＆太ももコキ"," used Breast Smothering Thighjob!"
"恭子は\n[1]の顔を乳房で圧迫し、肉棒を太ももで撫でる","She smothered you and thigh-stroked your penis!"
"恭子は太ももとおっぱいで精を搾り取る","Kyouko drained your semen with breast something thighjob!"
"のヒップアタック"," used Hip Attack."
"バニーガールは\n[1]に柔らかなお尻を打ち付ける","Bunny Girl hit you with her soft ass."
"バニーガールは\n[1]の股間にお尻をむぎゅっと押し付ける","Bunny GIrl nailed her ass on your groin."
"膝コキ",""
"の膝コキ"," used Kneepitjob"
"バニーガールは膝に肉棒を挟んで上下に扱く","Bunny Girl stroked your penis in her kneepit."
"バニーガールは膝でみっちりと肉棒を締め付けて愛撫する","Bunny girl tightly stroked you in her kneepit."
"は膝コキで精液を搾り取る"," drained your semen in kneepitjob."
"バニーガールの誘惑",""
"の投げキッス"," used Blown Kiss."
"六花は可愛らしく投げキッスでハートを飛ばした","She cutely blew a heart your way."
"六花は扇情的な投げキッスで\n[1]にハートを撃ちだす","She seductively blew a heart at you."
"の足コキ"," used Footjob."
"六花は白ニーソに包まれた足で\n[1]の肉棒を踏みつける","She trampled your penis with her foot clad in socks."
"六花は小さな足裏でぐりぐりと\n[1]の肉棒を踏みにじる","She grinded your penis under her sole."
"は足コキで精液を搾り取る"," drained your semen in footjob."
"六花（アプデ）の誘惑",""
"手コキ",""
"のシコシコ♡"," used Whispering Handjob."
"桃香は甘ったるい声で囁きながら肉棒を扱く","She whispered in your ear while stroking your penis."
"桃香は笑みを浮かべながら肉棒を扱く","She stroked your penis with a grin."
"はシコシコ♡で精液を搾りとる"," drained your semen in whispering handjob."
"桃香の誘惑",""
"の授乳手コキ"," used Nursing Handjob."
"桃香は\n[1]の顔を乳房で圧迫し、肉棒を上下に扱く",""
"は授乳手コキで精を搾り取る"," drained your semen in nursing handjob."
"六花を想う",""
"六花を想い、負けられないと決意を固める。
5ターンの間全能力-20％ダウンの解除・ターン消費なし",""
"桃香は耳元で甘い声を出しながら\n[1]の肉棒を扱く",""
"はシコシコ♡で精を搾り取る",""
"のパイズリ"," used Boobjob."
"桃香は肉棒を乳房で圧迫し、柔らかな感触を刷り込んでいく",""
"はパイズリで精を搾り取る"," drained your semen in boobjob."
